conversation_id,ground_truth_topic_consistency,calculated_topic_consistency,ground_truth_insight_count,calculated_insight_count,ground_truth_learning_exchanges,calculated_learning_exchanges
conv_0469,0.8708480199802273,0.18181818181818182,3,3,6,6
conv_0470,0.9503616534491357,0.3333333333333333,3,3,4,4
conv_0471,0.8278091706749758,0.23076923076923078,9,9,3,3
conv_0472,0.7156681755037382,0.3,1,1,3,3
conv_0473,0.5495265145485311,0.3076923076923077,4,4,4,4
conv_0474,0.8513096157082657,0.2727272727272727,4,4,3,3
conv_0475,0.6225117815578852,0.13333333333333333,6,6,3,3
conv_0476,0.9140185032788348,0.36363636363636365,5,5,3,3
conv_0477,0.8905573910382572,0.4444444444444444,7,7,7,7
conv_0478,0.6031492394478197,0.125,2,2,2,2
conv_0479,0.7384458712224158,0.3,2,2,1,1
conv_0480,0.9715673402523679,0.1875,8,8,1,1
conv_0481,0.5970208898356348,0.1,3,3,2,2
conv_0482,0.7731598644964359,0.2,2,2,0,0
conv_0483,0.6017325620928241,0.2,3,3,4,4
conv_0484,0.6698304589548885,0.15384615384615385,4,4,3,3
conv_0485,0.6972658127124448,0.1,2,2,4,4
conv_0486,0.72267804051907,0.0,5,5,3,3
conv_0487,0.940075026488568,0.3333333333333333,1,1,1,1
conv_0488,0.9303768229116594,0.25,6,6,1,1
conv_0489,0.8579315094201423,0.16666666666666666,3,3,2,2
conv_0490,0.9992083371835223,0.625,2,2,5,5
conv_0491,0.785909100392127,0.0,2,2,3,3
conv_0492,0.7138157940573492,0.5,2,2,1,1
conv_0493,0.5795877282748412,0.1875,2,2,3,3
conv_0494,0.8377532096122722,0.2,3,3,3,3
conv_0495,0.7133253147805609,0.4444444444444444,2,2,3,3
conv_0496,0.7661664725210515,0.25,2,2,2,2
conv_0497,0.6740043405506919,0.0625,4,4,4,4
conv_0498,0.7553702166922123,0.25,1,1,1,1
conv_0499,0.6222193810949734,0.2631578947368421,6,6,3,3
conv_0500,0.8253160614605957,0.3125,4,4,1,1
conv_0501,0.5863977012542385,0.42857142857142855,0,0,3,3
conv_0502,0.9352854919887481,0.0,4,4,2,2
conv_0503,0.8358252868576583,0.0,2,2,0,0
conv_0504,0.5139234842848577,0.25,2,2,4,4
conv_0505,0.6086061854528781,0.125,5,5,1,1
conv_0506,0.9817877806137915,0.3157894736842105,6,6,6,6
conv_0507,0.5900976246397196,0.16666666666666666,3,3,2,2
conv_0508,0.701861316450483,0.3125,4,4,2,2
conv_0509,0.7639525167205006,0.3333333333333333,1,1,3,3
conv_0510,0.7166691626543992,0.0,4,4,2,2
conv_0511,0.9975322238889119,0.1111111111111111,3,3,3,3
conv_0512,0.666378410999882,0.06666666666666667,6,6,1,1
conv_0513,0.9246540976475865,0.09090909090909091,2,2,3,3
conv_0514,0.7190528966609664,0.0,2,2,1,1
conv_0515,0.6699701758699594,0.0,1,1,1,1
conv_0516,0.8682890192904169,0.125,3,3,0,0
conv_0517,0.9150183013111104,0.26666666666666666,4,4,4,4
conv_0518,0.7327854971575886,0.0,1,1,4,4
conv_0519,0.5292057989289071,0.15789473684210525,6,6,3,3
conv_0520,0.9151532315338635,0.0,2,2,1,1
conv_0521,0.7189733345704392,0.25,3,3,1,1
conv_0522,0.5817195906254742,0.0,1,1,2,2
conv_0523,0.5996227557243266,0.0625,6,6,5,5
conv_0524,0.9299971725458103,0.2222222222222222,7,7,4,4
conv_0525,0.5802755660730341,0.125,5,5,4,4
conv_0526,0.7581538205765459,0.2777777777777778,6,6,3,3
conv_0527,0.6488571798841252,0.25,3,3,1,1
conv_0528,0.740279914657451,0.15789473684210525,7,7,3,3
conv_0529,0.8080267846402183,0.07692307692307693,6,6,3,3
conv_0530,0.6182398764155999,0.15384615384615385,5,5,2,2
conv_0531,0.8666828244358815,0.375,2,2,4,4
conv_0532,0.5986578255841906,0.16666666666666666,2,2,2,2
conv_0533,0.6154294082146028,0.14285714285714285,5,5,1,1
conv_0534,0.712464958120989,0.4,2,2,3,3
conv_0535,0.7830167192732953,0.06666666666666667,7,7,2,2
conv_0536,0.8949467905444497,0.14285714285714285,4,4,1,1
conv_0537,0.6979291320534879,0.125,1,1,5,5
conv_0538,0.9182858581553583,0.3,3,3,3,3
conv_0539,0.9670229317297299,0.25,7,7,5,5
conv_0540,0.5353751263599905,0.17647058823529413,4,4,6,6
conv_0541,0.7486193388687985,0.0,0,0,1,1
conv_0542,0.660007731729,0.0,2,2,1,1
conv_0543,0.8804677108140574,0.0,6,6,2,2
conv_0544,0.7177153059067822,0.25,4,4,2,2
conv_0545,0.6251277316741597,0.25,5,5,2,2
conv_0546,0.5725809090588182,0.25,3,3,1,1
conv_0547,0.561092074040598,0.4,4,4,1,1
conv_0548,0.6894075330262541,0.13333333333333333,3,3,5,5
conv_0549,0.7483885854826619,0.14285714285714285,0,0,0,0
conv_0550,0.769777614582167,0.25,4,4,2,2
conv_0551,0.7528571111410995,0.11764705882352941,2,2,3,3
conv_0552,0.6034045127871062,0.0,5,5,3,3
conv_0553,0.6068991642285037,0.0,1,1,1,1
conv_0554,0.7677526775658963,0.2222222222222222,4,4,2,2
conv_0555,0.6080206762052276,0.16666666666666666,7,7,3,3
conv_0556,0.8223893455537128,0.1875,5,5,3,3
conv_0557,0.9486137903454896,0.0,4,4,1,1
conv_0558,0.9149785729664945,0.14285714285714285,1,1,4,4
conv_0559,0.9273542484918675,0.0625,3,3,4,4
conv_0560,0.9481444585284557,0.3,5,5,4,4
conv_0561,0.9904441792497558,0.2777777777777778,5,5,3,3
conv_0562,0.997984493895043,0.2,3,3,1,1
conv_0563,0.9987920691543597,0.21428571428571427,3,3,1,1
conv_0564,0.880405042841468,0.0,5,5,1,1
conv_0565,0.9916078201726523,0.6,2,2,3,3
conv_0566,0.5249595762217256,0.0,2,2,0,0
conv_0567,0.8609110258065629,0.3333333333333333,5,5,1,1
conv_0568,0.6847597937592752,0.08333333333333333,2,2,2,2
conv_0569,0.8768293415458555,0.2,0,0,3,3
conv_0570,0.7067849974765177,0.25,3,3,2,2
conv_0571,0.7525728748783054,0.14285714285714285,0,0,2,2
conv_0572,0.8983708005612367,0.16666666666666666,1,1,3,3
conv_0573,0.5473158493798564,0.4666666666666667,4,4,2,2
conv_0574,0.9411651815051215,0.16666666666666666,1,1,3,3
conv_0575,0.5754645292738756,0.1875,3,3,3,3
conv_0576,0.6160103498386222,0.2222222222222222,5,5,3,3
conv_0577,0.8850812896404061,0.25,2,2,0,0
conv_0578,0.8518361788734717,0.2857142857142857,1,1,2,2
conv_0579,0.793422971497088,0.3333333333333333,4,4,3,3
conv_0580,0.8605094855386293,0.0,5,5,2,2
conv_0581,0.8076441145774136,0.14285714285714285,5,5,3,3
conv_0582,0.5793805150777526,0.125,5,5,5,5
conv_0583,0.8144552044026049,0.0,2,2,0,0
conv_0584,0.5834803948646405,0.14285714285714285,4,4,4,4
conv_0585,0.7875485775298587,0.3125,5,5,6,6
conv_0586,0.8578298908259865,0.4,4,4,1,1
conv_0587,0.8685672919678877,0.1111111111111111,2,2,1,1
conv_0588,0.810493062978914,0.09090909090909091,3,3,3,3
conv_0589,0.7908524923804585,0.0,5,5,3,3
conv_0590,0.8244113471187726,0.3,3,3,2,2
conv_0591,0.6030917488446196,0.0,5,5,4,4
conv_0592,0.8469724397973111,0.15789473684210525,7,7,5,5
conv_0593,0.7557530583784795,0.2631578947368421,4,4,3,3
conv_0594,0.6097656682828438,0.08333333333333333,6,6,2,2
conv_0595,0.9433326762195446,0.25,2,2,0,0
conv_0596,0.9632984776394052,0.18181818181818182,3,3,2,2
conv_0597,0.5756029176305839,0.25,2,2,3,3
conv_0598,0.9025563447159307,0.16666666666666666,2,2,2,2
conv_0599,0.6075620522308988,0.1875,4,4,1,1
conv_0600,0.6177945965856934,0.0625,1,1,0,0
conv_0601,0.6667529216537114,0.2222222222222222,4,4,3,3
conv_0602,0.8912435543251265,0.2,1,1,3,3
conv_0603,0.7459412277196016,0.25,0,0,0,0
conv_0604,0.7132688532096637,0.17647058823529413,6,6,4,4
conv_0605,0.5078258021953288,0.09090909090909091,4,4,2,2
conv_0606,0.8002320212277911,0.17647058823529413,6,6,6,6
conv_0607,0.7375757288118259,0.0,0,0,1,1
conv_0608,0.5565334594138301,0.25,2,2,2,2
conv_0609,0.6804156626343147,0.10526315789473684,4,4,6,6
conv_0610,0.8646123126592751,0.07692307692307693,4,4,2,2
conv_0611,0.6483715087219004,0.1,2,2,1,1
conv_0612,0.7928825442133665,0.0,6,6,2,2
conv_0613,0.5884162601406623,0.14285714285714285,3,3,2,2
conv_0614,0.9189035436291124,0.0,1,1,1,1
conv_0615,0.8684362467913772,0.25,7,7,2,2
conv_0616,0.7375849658868812,0.17647058823529413,7,7,2,2
conv_0617,0.7887067670899708,0.2777777777777778,5,5,0,0
conv_0618,0.7145998687646052,0.3,4,4,4,4
conv_0619,0.5528714828412116,0.2857142857142857,5,5,2,2
conv_0620,0.8926298317606831,0.375,2,2,0,0
conv_0621,0.7498027965971381,0.0,2,2,2,2
conv_0622,0.5431393744592008,0.16666666666666666,4,4,0,0
conv_0623,0.7391367988823776,0.0,7,7,1,1
conv_0624,0.5362916603986925,0.21428571428571427,6,6,2,2
conv_0625,0.5615781097996727,0.45454545454545453,4,4,4,4
conv_0626,0.7418353835102018,0.0,3,3,2,2
conv_0627,0.5601919124852135,0.15384615384615385,1,1,3,3
conv_0628,0.898639301092104,0.17647058823529413,6,6,6,6
conv_0629,0.5572051036940353,0.09090909090909091,2,2,4,4
conv_0630,0.9432468762979409,0.3333333333333333,4,4,1,1
conv_0631,0.8301613568935006,0.26666666666666666,6,6,1,1
conv_0632,0.7991190774930018,0.15789473684210525,7,7,7,7
conv_0633,0.7274445361220815,0.0,2,2,3,3
conv_0634,0.5041721400240687,0.05555555555555555,5,5,4,4
conv_0635,0.9791413577359616,0.06666666666666667,7,7,3,3
conv_0636,0.6180692517120578,0.15789473684210525,7,7,6,6
conv_0637,0.6013249349092664,0.06666666666666667,6,6,4,4
conv_0638,0.9870161093973353,0.125,3,3,0,0
conv_0639,0.6560925072888965,0.21052631578947367,6,6,6,6
conv_0640,0.8393664022374594,0.07142857142857142,4,4,2,2
conv_0641,0.5069156490918607,0.21428571428571427,3,3,3,3
conv_0642,0.7326075382205381,0.1111111111111111,2,2,2,2
conv_0643,0.5884961708511098,0.2,3,3,3,3
conv_0644,0.576805380966337,0.0,2,2,1,1
conv_0645,0.664865476961145,0.25,4,4,3,3
conv_0646,0.9251036163234352,0.2,3,3,2,2
conv_0647,0.7750188953420963,0.18181818181818182,4,4,1,1
conv_0648,0.5092777515895892,0.0625,4,4,5,5
conv_0649,0.8575664738742643,0.2,3,3,1,1
conv_0650,0.9982308411390555,0.0,1,1,0,0
conv_0651,0.5785106630662498,0.0,2,2,0,0
conv_0652,0.8031589838414055,0.125,8,8,4,4
conv_0653,0.585618935053493,0.07142857142857142,8,8,5,5
conv_0654,0.8015655198796063,0.0,2,2,4,4
conv_0655,0.7517284650946825,0.25,3,3,2,2
conv_0656,0.8716485134805384,0.08333333333333333,3,3,3,3
conv_0657,0.605996349573986,0.15789473684210525,7,7,3,3
conv_0658,0.5334403435764309,0.10526315789473684,7,7,3,3
conv_0659,0.8226658477014963,0.0,3,3,1,1
conv_0660,0.7197313687789979,0.25,0,0,1,1
conv_0661,0.6845067418532611,0.0625,4,4,2,2
conv_0662,0.7506402693726397,0.16666666666666666,2,2,7,7
conv_0663,0.9777603984023763,0.125,3,3,1,1
conv_0664,0.7810604642059347,0.1111111111111111,7,7,3,3
conv_0665,0.8811072381212601,0.25,2,2,1,1
conv_0666,0.5028151694938712,0.2222222222222222,5,5,6,6
conv_0667,0.9577854077967738,0.125,5,5,3,3
conv_0668,0.6923619129008507,0.4,3,3,3,3
conv_0669,0.8713250682969358,0.17647058823529413,3,3,1,1
conv_0670,0.9907875416378376,0.13333333333333333,4,4,3,3
conv_0671,0.5483338402385372,0.25,1,1,0,0
conv_0672,0.8016319900939984,0.07692307692307693,2,2,6,6
conv_0673,0.6522839467691859,0.25,6,6,4,4
conv_0674,0.7264828497317637,0.0,3,3,4,4
conv_0675,0.8224533522919204,0.08333333333333333,4,4,2,2
conv_0676,0.5352943527945748,0.14285714285714285,1,1,0,0
conv_0677,0.7044996566036967,0.21428571428571427,7,7,2,2
conv_0678,0.5538570181191511,0.2857142857142857,1,1,2,2
conv_0679,0.5633557941776562,0.07142857142857142,5,5,6,6
conv_0680,0.7032656400130689,0.1,5,5,0,0
conv_0681,0.7318641300498686,0.0,3,3,1,1
conv_0682,0.8561060981943853,0.15384615384615385,4,4,4,4
conv_0683,0.5761531612575934,0.0,4,4,0,0
conv_0684,0.8534411689556565,0.125,6,6,4,4
conv_0685,0.9159513187936827,0.14285714285714285,6,6,1,1
conv_0686,0.8808041331063976,0.25,3,3,1,1
conv_0687,0.8969356010409818,0.07142857142857142,1,1,1,1
conv_0688,0.861335958839925,0.16666666666666666,5,5,3,3
conv_0689,0.8253694251228194,0.2857142857142857,2,2,2,2
conv_0690,0.7681146161591966,0.2,2,2,2,2
conv_0691,0.8834012464470862,0.16666666666666666,2,2,1,1
conv_0692,0.6710651076016286,0.1875,4,4,3,3
conv_0693,0.5433880806044358,0.0,1,1,2,2
conv_0694,0.8203706289804433,0.2,0,0,1,1
conv_0695,0.5771953291683227,0.15384615384615385,3,3,1,1
conv_0696,0.5820286080686129,0.25,1,1,1,1
conv_0697,0.5051725859332207,0.2727272727272727,2,2,0,0
conv_0698,0.5661491304433438,0.2777777777777778,4,4,4,4
conv_0699,0.6411573293042481,0.36363636363636365,4,4,4,4
conv_0700,0.7376582214675965,0.06666666666666667,7,7,3,3
conv_0701,0.8920006159160864,0.3333333333333333,6,6,4,4
conv_0702,0.8006103973963565,0.0,5,5,5,5
conv_0703,0.8060616932280396,0.09090909090909091,2,2,1,1
conv_0704,0.8863667466327746,0.4,2,2,2,2
conv_0705,0.9839370977138784,0.2727272727272727,3,3,2,2
conv_0706,0.7799738520683535,0.0,1,1,4,4
conv_0707,0.8492059229042306,0.125,8,8,2,2
conv_0708,0.7668109464728625,0.3333333333333333,6,6,5,5
conv_0709,0.6222102863613406,0.0,5,5,5,5
conv_0710,0.79225566831856,0.0,1,1,1,1
conv_0711,0.5853140870842521,0.08333333333333333,2,2,5,5
conv_0712,0.9485430034675734,0.2631578947368421,7,7,2,2
conv_0713,0.7415288121015582,0.14285714285714285,3,3,0,0
conv_0714,0.6501558146118432,0.15789473684210525,5,5,4,4
conv_0715,0.8417372958784728,0.18181818181818182,3,3,0,0
conv_0716,0.9009177995950837,0.0,2,2,1,1
conv_0717,0.5532309115762981,0.2631578947368421,1,1,3,3
conv_0718,0.7996245542760818,0.15384615384615385,4,4,5,5
conv_0719,0.7243930412938486,0.18181818181818182,2,2,3,3
conv_0720,0.9043629962731562,0.0,7,7,4,4
conv_0721,0.8350214410872834,0.16666666666666666,3,3,2,2
conv_0722,0.7600037010430869,0.3125,2,2,3,3
conv_0723,0.8290498294339952,0.06666666666666667,1,1,8,8
conv_0724,0.7138786453217933,0.0,2,2,0,0
conv_0725,0.7137053685319871,0.5,3,3,1,1
conv_0726,0.922143673001792,0.1111111111111111,1,1,2,2
conv_0727,0.9290216562146614,0.17647058823529413,3,3,2,2
conv_0728,0.9450394113556675,0.1,3,3,1,1
conv_0729,0.8840395690735441,0.16666666666666666,6,6,4,4
conv_0730,0.9767552223884928,0.5454545454545454,4,4,4,4
conv_0731,0.7723909801463293,0.3125,5,5,5,5
conv_0732,0.6090075948996485,0.3,6,6,1,1
conv_0733,0.5429367828826992,0.17647058823529413,4,4,2,2
conv_0734,0.8214868337472568,0.15789473684210525,6,6,3,3
conv_0735,0.9454096885121406,0.3333333333333333,8,8,5,5
conv_0736,0.6666758076924023,0.2,1,1,3,3
conv_0737,0.9207307644466716,0.07692307692307693,6,6,0,0
conv_0738,0.5121366422875744,0.3333333333333333,1,1,1,1
conv_0739,0.8189003775310042,0.2727272727272727,5,5,2,2
conv_0740,0.5496289072887315,0.16666666666666666,8,8,3,3
conv_0741,0.8908469023474868,0.29411764705882354,6,6,5,5
conv_0742,0.941483610852124,0.16666666666666666,7,7,5,5
conv_0743,0.5385614937487277,0.2222222222222222,4,4,6,6
conv_0744,0.8477389762932883,0.2,3,3,1,1
conv_0745,0.8374884397050042,0.0,4,4,1,1
conv_0746,0.5412188193623003,0.2222222222222222,2,2,3,3
conv_0747,0.5929670831034823,0.25,2,2,2,2
conv_0748,0.644173940957733,0.0,1,1,0,0
conv_0749,0.7302490283177049,0.3333333333333333,4,4,5,5
conv_0750,0.8554805500087216,0.2,5,5,2,2
conv_0751,0.7377640313799081,0.0,2,2,1,1
conv_0752,0.9159554072331695,0.0,3,3,1,1
conv_0753,0.8818741006444599,0.0,3,3,1,1
conv_0754,0.8713271100233119,0.16666666666666666,2,2,1,1
conv_0755,0.8626902185779749,0.05555555555555555,4,4,4,4
conv_0756,0.5174839240319975,0.15384615384615385,4,4,3,3
conv_0757,0.923532341801346,0.2,1,1,1,1
conv_0758,0.9108767824146391,0.2222222222222222,5,5,0,0
conv_0759,0.6083998407534421,0.11764705882352941,6,6,0,0
conv_0760,0.5532380366447722,0.0,5,5,3,3
conv_0761,0.7468293460340637,0.3333333333333333,3,3,0,0
conv_0762,0.982166052589168,0.05555555555555555,10,10,2,2
conv_0763,0.5852809647877673,0.16666666666666666,4,4,1,1
conv_0764,0.9086894018757619,0.17647058823529413,3,3,6,6
conv_0765,0.6241996534978109,0.3333333333333333,0,0,2,2
conv_0766,0.5022211790000457,0.2222222222222222,5,5,1,1
conv_0767,0.6090184437217835,0.3333333333333333,4,4,1,1
conv_0768,0.9194814063341831,0.1875,1,1,3,3
conv_0769,0.8965688186349754,0.1111111111111111,10,10,7,7
conv_0770,0.7301803072907238,0.14285714285714285,5,5,4,4
conv_0771,0.5639993934447778,0.13333333333333333,8,8,5,5
conv_0772,0.7037921477304521,0.14285714285714285,6,6,3,3
conv_0773,0.6112507000696034,0.29411764705882354,7,7,2,2
conv_0774,0.7247199289378821,0.0,8,8,4,4
conv_0775,0.7464868707659995,0.42857142857142855,3,3,1,1
conv_0776,0.9884834646628624,0.0,1,1,1,1
conv_0777,0.5003212096472038,0.125,4,4,3,3
conv_0778,0.7574660499102519,0.16666666666666666,2,2,3,3
conv_0779,0.9315449673435077,0.2,4,4,8,8
conv_0780,0.8138451347659257,0.15789473684210525,3,3,6,6
conv_0781,0.6461997737574874,0.2857142857142857,8,8,4,4
conv_0782,0.8266612178769136,0.1111111111111111,1,1,2,2
conv_0783,0.8815604310807617,0.125,5,5,3,3
conv_0784,0.7735902267777135,0.07142857142857142,6,6,5,5
conv_0785,0.5304066746753908,0.2,1,1,0,0
conv_0786,0.9677674065794054,0.08333333333333333,1,1,1,1
conv_0787,0.6938085922257236,0.2857142857142857,2,2,3,3
conv_0788,0.7327191898909424,0.10526315789473684,5,5,1,1
conv_0789,0.6477258470478968,0.14285714285714285,4,4,0,0
conv_0790,0.8029543854758691,0.17647058823529413,1,1,0,0
conv_0791,0.926375340796253,0.0,1,1,0,0
conv_0792,0.8573344424201514,0.375,1,1,2,2
conv_0793,0.7974384225363651,0.11764705882352941,3,3,9,9
conv_0794,0.6433137318227812,0.4444444444444444,1,1,3,3
conv_0795,0.6007546594515578,0.05555555555555555,4,4,2,2
conv_0796,0.7965059275147794,0.3333333333333333,5,5,4,4
conv_0797,0.7539766861502966,0.5,2,2,1,1
conv_0798,0.850154151421679,0.1111111111111111,3,3,4,4
conv_0799,0.5624046073884046,0.25,3,3,0,0
conv_0800,0.6685945386839363,0.5,2,2,0,0
conv_0801,0.7339725693808378,0.0,0,0,0,0
conv_0802,0.9835839711673275,0.15384615384615385,4,4,0,0
conv_0803,0.9531866775591545,0.1111111111111111,5,5,3,3
conv_0804,0.9413589743851118,0.1111111111111111,3,3,1,1
conv_0805,0.6700752564715122,0.1111111111111111,3,3,4,4
conv_0806,0.9450940934855272,0.3,1,1,1,1
conv_0807,0.6162690138837246,0.17647058823529413,5,5,2,2
conv_0808,0.9898025123409671,0.25,4,4,3,3
conv_0809,0.5412574694453962,0.10526315789473684,6,6,7,7
conv_0810,0.7372313009898962,0.2,3,3,1,1
conv_0811,0.7905426323684515,0.15789473684210525,6,6,5,5
conv_0812,0.6507566873189907,0.0,0,0,1,1
conv_0813,0.6705374174247021,0.0,2,2,0,0
conv_0814,0.8566682320653495,0.125,1,1,3,3
conv_0815,0.7065004317885146,0.3333333333333333,5,5,2,2
conv_0816,0.8302263513176058,0.0,5,5,3,3
conv_0817,0.6056246851260181,0.125,1,1,0,0
conv_0818,0.5654131839471344,0.06666666666666667,8,8,5,5
conv_0819,0.6144001650497632,0.1,2,2,0,0
conv_0820,0.5439049858769358,0.1111111111111111,6,6,4,4
conv_0821,0.6556095530729524,0.0,2,2,1,1
conv_0822,0.5756381728769273,0.29411764705882354,5,5,1,1
conv_0823,0.8627617378922224,0.2,1,1,0,0
conv_0824,0.8824405096188643,0.125,7,7,5,5
conv_0825,0.7230221924102007,0.0,5,5,2,2
conv_0826,0.9428747165338655,0.1111111111111111,3,3,2,2
conv_0827,0.5818656796079437,0.0,1,1,0,0
conv_0828,0.8115402329774134,0.16666666666666666,4,4,0,0
conv_0829,0.8523128436280931,0.3333333333333333,2,2,6,6
conv_0830,0.5456325648378559,0.0,3,3,0,0
conv_0831,0.960669781229383,0.18181818181818182,2,2,2,2
conv_0832,0.9885691566399675,0.11764705882352941,4,4,4,4
conv_0833,0.6425422908416959,0.21428571428571427,4,4,3,3
conv_0834,0.5887149607918595,0.21428571428571427,6,6,6,6
conv_0835,0.5750222991846226,0.06666666666666667,2,2,4,4
conv_0836,0.8599997788599225,0.0,2,2,0,0
conv_0837,0.967146460598548,0.2857142857142857,2,2,3,3
conv_0838,0.97212820996673,0.16666666666666666,5,5,0,0
conv_0839,0.5988469620659638,0.1875,3,3,6,6
conv_0840,0.7042607225892266,0.2,2,2,3,3
conv_0841,0.7862321321257415,0.10526315789473684,5,5,7,7
conv_0842,0.9724163000618851,0.3,3,3,1,1
conv_0843,0.563504559191242,0.23529411764705882,7,7,4,4
conv_0844,0.8928918930012792,0.0,2,2,5,5
conv_0845,0.6552721751288298,0.17647058823529413,7,7,4,4
conv_0846,0.9213536088771841,0.23529411764705882,6,6,5,5
conv_0847,0.8115180078946188,0.0,0,0,4,4
conv_0848,0.602024709277702,0.2,4,4,2,2
conv_0849,0.8443064985250718,0.0,2,2,2,2
conv_0850,0.7903510409348092,0.3333333333333333,2,2,2,2
conv_0851,0.8662963273394517,0.0,4,4,0,0
conv_0852,0.5864717979597727,0.0,4,4,3,3
conv_0853,0.5298574083011947,0.25,4,4,4,4
conv_0854,0.6417998851119133,0.13333333333333333,5,5,2,2
conv_0855,0.9657075666681019,0.375,4,4,2,2
conv_0856,0.8094702121833773,0.0,0,0,0,0
conv_0857,0.5945668467785159,0.26666666666666666,5,5,1,1
conv_0858,0.9387371854341484,0.21428571428571427,3,3,3,3
conv_0859,0.6094797832234504,0.13333333333333333,4,4,7,7
conv_0860,0.9286665778459922,0.42857142857142855,0,0,3,3
conv_0861,0.7162870012303663,0.0625,7,7,4,4
conv_0862,0.7398983216431794,0.2631578947368421,5,5,4,4
conv_0863,0.5277668792646606,0.05555555555555555,5,5,2,2
conv_0864,0.5054410732098569,0.25,1,1,3,3
conv_0865,0.5788544186351701,0.45454545454545453,2,2,3,3
conv_0866,0.8216249048265203,0.058823529411764705,5,5,0,0
conv_0867,0.7193384631981872,0.16666666666666666,7,7,3,3
conv_0868,0.6076985032912017,0.0,2,2,0,0
conv_0869,0.7622498925050676,0.14285714285714285,1,1,0,0
conv_0870,0.9699789651111521,0.25,3,3,0,0
conv_0871,0.7331796384730339,0.2,1,1,2,2
conv_0872,0.9914318476415998,0.0,5,5,4,4
conv_0873,0.8888404524687457,0.1111111111111111,4,4,3,3
conv_0874,0.6710226513443854,0.17647058823529413,6,6,4,4
conv_0875,0.6413913919247984,0.1111111111111111,5,5,2,2
conv_0876,0.5872713251938197,0.23529411764705882,6,6,3,3
conv_0877,0.787989150828565,0.07142857142857142,3,3,6,6
conv_0878,0.6766519906891968,0.0,2,2,1,1
conv_0879,0.6321546744651407,0.25,0,0,0,0
conv_0880,0.7489898872088749,0.25,4,4,1,1
conv_0881,0.6596461296198476,0.14285714285714285,3,3,4,4
conv_0882,0.969997031674839,0.1,3,3,4,4
conv_0883,0.7496293812088481,0.2,1,1,2,2
conv_0884,0.6736888311055652,0.3333333333333333,3,3,3,3
conv_0885,0.8088432288512031,0.3333333333333333,7,7,5,5
conv_0886,0.7082970996091492,0.0,3,3,3,3
conv_0887,0.9935066306122273,0.0,4,4,2,2
conv_0888,0.9960352575273697,0.0,2,2,1,1
conv_0889,0.8455729976666222,0.2,3,3,1,1
conv_0890,0.8292261221868866,0.058823529411764705,3,3,4,4
conv_0891,0.7383783019480799,0.16666666666666666,1,1,2,2
conv_0892,0.7970396519259804,0.06666666666666667,3,3,5,5
conv_0893,0.5062715000982039,0.15789473684210525,3,3,3,3
conv_0894,0.9524037750339214,0.15384615384615385,8,8,3,3
conv_0895,0.6189029762252016,0.25,0,0,0,0
conv_0896,0.8467295903919386,0.0,2,2,3,3
conv_0897,0.5759455344895413,0.16666666666666666,5,5,5,5
conv_0898,0.785149573918277,0.14285714285714285,1,1,1,1
conv_0899,0.528813555116443,0.125,7,7,3,3
conv_0900,0.6805759869989929,0.21428571428571427,3,3,3,3
conv_0901,0.73131506143893,0.2,3,3,1,1
conv_0902,0.7896902630513932,0.09090909090909091,6,6,4,4
conv_0903,0.8945561387339978,0.2,3,3,1,1
conv_0904,0.5567394780193826,0.0,2,2,2,2
conv_0905,0.5630449950881369,0.21052631578947367,11,11,4,4
conv_0906,0.8465427374635115,0.15789473684210525,3,3,5,5
conv_0907,0.5820052931990718,0.21052631578947367,5,5,7,7
conv_0908,0.6769443040961531,0.16666666666666666,3,3,5,5
conv_0909,0.7796978635580849,0.3333333333333333,3,3,4,4
conv_0910,0.7188965409665462,0.0,3,3,4,4
conv_0911,0.7163993893741325,0.11764705882352941,7,7,1,1
conv_0912,0.6215067444490132,0.0,5,5,2,2
conv_0913,0.5498266407820123,0.3333333333333333,4,4,5,5
conv_0914,0.8466617265565649,0.15789473684210525,5,5,3,3
conv_0915,0.9697545504084939,0.2,7,7,4,4
conv_0916,0.9319672480566235,0.1111111111111111,3,3,1,1
conv_0917,0.5966462371023136,0.07142857142857142,7,7,3,3
conv_0918,0.9688746968149711,0.0,6,6,1,1
conv_0919,0.643932308244058,0.15789473684210525,8,8,3,3
conv_0920,0.5423073372002681,0.1111111111111111,2,2,1,1
conv_0921,0.9490696996302672,0.38461538461538464,4,4,4,4
conv_0922,0.6936943150488477,0.10526315789473684,8,8,3,3
conv_0923,0.5317106460645799,0.0,1,1,4,4
conv_0924,0.7354090733033725,0.15384615384615385,3,3,5,5
conv_0925,0.7835105072750004,0.5,2,2,0,0
conv_0926,0.617752816387146,0.3333333333333333,3,3,3,3
conv_0927,0.7984008162882774,0.14285714285714285,4,4,2,2
conv_0928,0.7817127481713317,0.23529411764705882,1,1,6,6
conv_0929,0.6026469125722933,0.16666666666666666,4,4,2,2
conv_0930,0.8391130410441093,0.058823529411764705,4,4,8,8
conv_0931,0.5452334900285025,0.0,1,1,0,0
conv_0932,0.7616865485745989,0.3333333333333333,8,8,1,1
conv_0933,0.834569068410602,0.2,0,0,1,1
conv_0934,0.905006817223748,0.18181818181818182,3,3,2,2
conv_0935,0.5498713397659776,0.2,3,3,1,1
conv_0936,0.539368337257669,0.2,2,2,2,2
conv_0937,0.740543301312457,0.375,4,4,2,2
